		EM		LM		ED		LD	
		tooth	caudal scale	tooth	caudal scale	tooth	caudal scale	tooth	caudal scale
Shh	E	[2, 4]	- [2, 5]	[2, 3, 4]	[2]	[2, 4]	[2, 3, 5†]	[2]	[2, 5 †]
	M	-	- [2, 5]	-	-	-	[5†]	-	[5†]
Fgf3	E			[3, 4]	[1, 5]	[4]	[3, 5]	- [3, 4]	[5]
	M			[3, 4]	[1, 5]	[4]	[3, 5]	- [3, 4]	[5]
Fgf8	E	- [2]	- [2, 5]	[2]	[2, 5†]	[2]	[2, 5†]	[2]	[5†]
	M	- [2]	- [2, 5]	-	[5†]	-	[5†]	-	[2†]
Fgf10	E			[4]		[3, 4]	[3]		
	M			-		-	-		
Fgfr1	E						[5]		
	M						-		
Fgfr2	E						[5]		
	M						-		
Ptc2	E			[4]		[4]			
	M			[4]		[4]			
Midkine	E			[4]		[4]			
	M			[4]		[4]			
Bmp4	E	[2, 4†]	-	[2, 4†]	[5†]	[2]	[2, 5]	[2, 4†]	[2, 5†]
	M	[4†]	[2]	[4†]	[2, 5†]	-	[2, 5]	[3, 4†]	[3, 5†]
Lef1	E	[3, 4]		[3, 4]	[3]				- [3]
	M	-		[3, 4]	[3]				- [3]
?-cat	E	[4]				[3, 4]	[3]	[4]	
	M	[4]				[3, 4]	[3]	-	
Eda	E				[5]				
	M				-				
Edar	E						[5]		
	M						-		
Gli2	E						[5]		
	M						-		
Dlx1	E	[1]	- [1]	[1]	[1]	[1]	[1]	[1]	[1]
	M	-	- [1]	-	-	[1]	[1]	-	-
Dlx2	E	- [1]	[1, 5]	- [1]	[1, 5]	- [1]	[1, 5]	- [1]	[1]
	M	- [1]	[1, 5]	- [1]	[1, 5]	- [1]	[1, 5]	- [1]	-
Dlx3	E	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]
	M	-	-	[1]	[1]	[1]	[1]	[1]	-
Dlx4	E	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]
	M	-	-	[1]	[1]	[1]	[1]	[1]	[1]
Dlx5	E	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]
	M	-	-	[1]	[1]	[1]	[1]	[1]	-
Dlx6	E	- [1]	- [1]	- [1]	- [1]	- [1]	- [1]	- [1]	- [1]
	M	- [1]	- [1]	- [1]	- [1]	- [1]	- [1]	- [1]	- [1]
Msx1	E	[2]	[2]	[2]	-	[2]	-	[2]	[2]
	M	[2]	-	-	[2]	[2]	[2]	-	[2]
Msx2	E	[2]	- [2]	[2]	[2]	[2]	[2]	[2]	[2]
	M	[2]	- [2]	[2]	-	-	[2]	-	-
Msx3	E	[2]	- [2]	[2]	[2]	[2]	[2]	[2]	[2]
	M	-	- [2]	[2]	-	[2]	[2]	[2]	-
Pitx1	E	[2]	[2]	[2]	[2]	[2, 4]	[2]	[2, 4]	[2]
	M	-	-	-	-	-	-	-	
Pitx2	E	[2, 4]	- [2]	[2]	- [2]	[2, 3]	- [2]	[2, 4]	- [2]
	M	[2, 4]	- [2]	[2]	- [2]	[2, 3]	- [2]	[2, 4]	- [2]
Pitx3	E	- [2]	- [2]	- [2]	- [2]	- [2]	- [2]	- [2]	- [2]
	M	- [2]	- [2]	- [2]	- [2]	- [2]	- [2]	- [2]	- [2]
Sox2	E	[4]				[3]			
	M	-				-			
Pax9	E			-		-			
	M			[4]		[4]			
Col1a1	E				-	-		-	-
	M				[6]	[6]		[6]	[6]
Col1a2	E				-	-		-	-
	M				[6]	[6]		[6]	[6]
Col2a1	E					[6]	- [6]	-	- [6]
	M					-	- [6]	[6]	- [6]
SPARC	E				-		-	-	-
	M				[3]		[3, 6]	[3, 6]	[6]
SPARC-L	E						- [6]	[6]	[6]
	M						- [6]	-	-
